n    R   sigma N_total   N_success  N_success/N_total   time(s) 
58    18.894764345775098    6.8614269884351415   323071  10000   0.030952948423102044  14.565490007400513
59    19.057570752302592    6.891813768593928   345377  10000   0.028953867802430387  15.70998501777649
60    19.268305549721916    7.13603540087601   366774  10000   0.02726474613794871  16.957682847976685
61    19.591842160441853    7.144173903281826   396496  10000   0.025220935394051895  18.709919691085815
62    19.782955401570764    7.284399465945162   432410  10000   0.023126199671607964  20.70687770843506
63    20.037616192882894    7.288884503592937   451990  10000   0.02212438328281599  21.55748152732849
64    20.331302931447862    7.4658637216131645   489809  10000   0.020416121386091314  23.923972129821777
65    20.358214169462443    7.565937868519583   539193  10000   0.018546234836134743  26.506398916244507
66    20.71160142947892    7.710419328830741   576313  10000   0.017351682158826886  28.987910270690918
67    20.93501200415396    7.647893329926191   618152  10000   0.0161772509026906  31.7190899848938
68    21.121419095994003    7.755163142795891   680702  10000   0.014690716348710596  35.32511758804321
69    21.36748839419937    7.842361871512637   716368  10000   0.013959305831639604  37.566556453704834
70    21.567054516151117    7.835180884789181   764330  10000   0.01308335404864391  40.8321475982666
71    21.747595014442087    7.99519299878456   836052  10000   0.011960978503729434  44.83941912651062
72    22.02666749498063    8.103926151290118   900522  10000   0.01110467040227779  48.94231200218201
73    22.3285814184968    8.165699715122974   975358  10000   0.010252645695221652  54.190746545791626
74    22.608444352607762    8.29301778335475   1031622  10000   0.009693472996892272  58.75606679916382
75    22.68439895892921    8.285852030547693   1116907  10000   0.008953296917290339  63.947319984436035
76    22.884268178749757    8.490204351077846   1190915  10000   0.008396904900853545  68.41205430030823
77    23.10808679642349    8.52933904877502   1296962  10000   0.0077103261313747045  75.82314205169678
78    23.360928103755207    8.625232642148278   1411699  10000   0.007083663018816334  85.16528701782227
79    23.680414005792514    8.636173487967099   1520740  10000   0.0065757460183857855  93.18526458740234
80    23.832103167942584    8.829986330257881   1622694  10000   0.006162591345010212  102.56290555000305
81    24.05433713714601    8.89062792453482   1740482  10000   0.005745534857585427  107.81251215934753
82    24.336877930565155    8.939903388335395   1862939  10000   0.005367862286419469  117.57210946083069
83    24.673277777947266    8.955069161779466   2048780  10000   0.004880953543084177  132.80241441726685
84    24.829608720049873    9.144366069292246   2207271  10000   0.004530481304742372  143.8922085762024
85    25.021839901331642    9.195484106458327   2347698  10000   0.004259491638191965  154.83281064033508
86    25.073968149301226    9.30469888001904   2598402  10000   0.00384851920526539  173.42536115646362
87    25.267982458122184    9.353713834409817   2731423  10000   0.003661095333824164  184.53103280067444
88    25.57387030249063    9.376137677710787   2964990  10000   0.003372692656636279  214.57349801063538
89    25.684630989055503    9.549012040836988   3176684  10000   0.0031479366534411355  219.0212275981903
90    25.96939242179427    9.556665592289722   3461006  10000   0.0028893333325628445  241.08207535743713
91    26.266192757489208    9.828678345862253   3728294  10000   0.0026821919086853128  262.13282895088196
92    26.419934338617832    9.6727591484086   3912420  10000   0.0025559628056292523  279.53797817230225
93    26.603910089903053    9.825882552135178   4346125  10000   0.0023009002272138973  314.4636812210083
94    26.899955535982055    9.87166612898696   4705520  10000   0.0021251636376000953  343.2922155857086
95    27.218964294963545    10.04222000901692   5103591  10000   0.001959404662325018  378.59527683258057
96    27.114104112933752    10.056309370389764   5459951  10000   0.0018315182682042384  400.9379448890686
97    27.53331546654995    10.192577663154754   5820153  10000   0.0017181678900881129  432.61954617500305
98    27.81413057308791    10.204500990406952   6425174  10000   0.0015563780840799019  478.9566068649292
99    28.041125052157767    10.215336793725893   6764085  10000   0.0014783965606582413  508.80739402770996
100    28.20645425252104    10.433826647037876   7244043  10000   0.0013804445942686978  550.0401041507721
101    28.273054681204517    10.474057427454722   7946849  10000   0.0012583603891303332  609.1261441707611
102    28.547382675762776    10.52094778827266   8620251  10000   0.0011600590284436033  666.0836024284363
103    28.75200095272105    10.482849861308122   9286131  10000   0.0010768747500977532  723.7175333499908
104    28.80305349291361    10.700117264981591   10099375  10000   0.0009901602821956804  799.7887651920319
105    28.980065535963664    10.883878055695547   10667644  10000   0.0009374141094322233  851.5599684715271
106    29.56094468776237    10.928176845524316   11532475  10000   0.0008671165556396177  931.9676728248596
107    29.643520275804587    10.798064903396458   12581255  10000   0.0007948332658387419  1026.5433900356293
108    29.804266051095624    10.955479229842426   13553071  10000   0.0007378401544565065  1124.6553988456726
109    30.051430189703016    10.937821700567538   14707082  10000   0.0006799445328447886  1229.6267096996307
110    30.085685884301178    10.976575279710923   15861860  10000   0.0006304430880111159  1336.312080860138
111    30.33438018436187    11.235531978086044   16881436  10000   0.0005923666683331915  1432.1791906356812
