n    R   sigma N_total   N_success  N_success/N_total   time(s) 
59    17.70674706202135    6.424726335152207   5358413  10000   0.0018662241973509694  219.22145080566406
60    18.010712104931155    6.551003699684984   6123072  10000   0.0016331671422449385  253.1367428302765
61    18.10312947213755    6.655727106411804   6927127  10000   0.0014435999224498121  291.15507769584656
62    18.336300941721497    6.695481145864229   7865200  10000   0.0012714234857346286  349.0769989490509
63    18.562968227472414    6.827518625814923   8908590  10000   0.001122512092261514  381.20673537254333
64    18.81610432656724    6.86759186117941   9988361  10000   0.0010011652562417397  437.67212557792664
65    19.04257616075211    7.091621335206462   11370439  10000   0.000879473519008369  507.44828367233276
66    19.18066796447624    7.043775723041936   12832345  10000   0.0007792807939624441  582.3509690761566
67    19.428494468475044    7.088554344041851   14360403  10000   0.0006963592874099703  650.1853170394897
68    19.86187507123945    7.185034353047796   16365377  10000   0.0006110461127782147  747.3320076465607
69    19.857087544846472    7.26598061078497   18902243  10000   0.0005290377443565824  874.3436636924744
70    20.19102959954774    7.362684545068262   20935391  10000   0.0004776600542115502  983.1801223754883
71    20.402242675836995    7.365384836942042   24117695  10000   0.0004146333221313231  1149.552345752716
72    20.4873737269324    7.556739890521572   26405206  10000   0.0003787131976929095  1278.9137012958527
73    20.645602605774002    7.58495174964599   30963469  10000   0.00032296122892431725  1517.2570717334747
74    20.926440273877915    7.693874021831941   34877437  10000   0.0002867183159129497  1734.9133129119873
75    21.265111065632354    7.715584965919334   38911094  10000   0.0002569961152981204  1964.0277779102325
76    21.408305596570678    7.845307609255396   44178156  10000   0.00022635621097449155  2263.285323858261
77    21.495594684074444    7.955413828204697   50403803  10000   0.00019839772804444936  2613.1295194625854
78    21.666969744860737    7.985788757241799   56830363  10000   0.00017596227565887623  2985.852471590042
79    22.014975159068307    8.163116362370774   63868730  10000   0.00015657114209097315  3395.0108058452606
80    22.40278195308915    8.144038357126218   72314848  10000   0.000138284187501853  3911.3044698238373
81    22.39302049075517    8.265194087292755   82491597  10000   0.00012122446847525573  4523.676371335983
82    22.643319638482563    8.28648753993572   93651167  10000   0.0001067792353297637  5212.628147125244
83    22.82016002515654    8.379182324442375   105476583  10000   9.480777358894913e-05  5961.228578329086
84    23.153818228416206    8.536047179196084   116677483  10000   8.570633975708921e-05  6837.2274742126465
